x,y,z,vx,vy,vz,rho,P
0.120717,0.0466925,-0.130219,-0.0976297,-0.0938058,0.272642,15936.5,2.53972e+07
-0.0460152,0.0578589,0.159939,0.143108,0.0644581,-0.272245,14578.5,2.12532e+07
-0.0176067,0.049778,0.057716,-0.0175416,-0.113977,-0.173501,19041.3,3.62572e+07
0.0497451,-0.0290597,0.0401714,-0.00882481,-0.0683482,-0.0253465,19326,3.73493e+07
-0.133603,-0.071232,-0.106471,0.198009,0.16513,0.185798,14275.9,2.03802e+07
0.146748,-0.0859626,-0.0511169,-0.167641,0.212432,0.193423,14559.1,2.11969e+07
0.020738,-0.0911675,0.167733,-0.0744731,0.25553,-0.222518,13334.4,1.77806e+07
0.130522,0.0617604,0.119205,-0.169605,-0.288697,-0.257757,16322.9,2.66437e+07
0.0419794,-0.105768,0.145506,0.029631,0.202158,-0.185277,13457.8,1.81111e+07
-0.113421,-0.119229,0.0868624,0.288584,0.149105,-0.117135,14966.6,2.24e+07
0.0762552,-1.84789e-15,0.146558,-0.099332,-9.01801e-15,-0.189496,16467.5,2.71178e+07
-0.0556772,-5.37376e-15,0.167593,0.262413,1.52956e-14,-0.121178,13808.9,1.90685e+07
-0.135848,-5.09229e-15,0.112961,0.0611311,-3.65189e-15,-0.351172,17515.1,3.06779e+07
-0.0894352,-3.35294e-16,0.168091,0.227068,4.00923e-14,-0.102015,13657.7,1.86533e+07
-0.131894,-9.73935e-15,-0.051057,0.121222,3.81765e-14,0.0621265,17765.8,3.15625e+07
0.146748,0.0859626,-0.0511169,-0.167641,-0.212432,0.193423,14559.1,2.11969e+07
0.020738,0.0911675,0.167733,-0.0744731,-0.25553,-0.222518,13334.4,1.77806e+07
0.130522,-0.0617604,0.119205,-0.169605,0.288697,-0.257757,16322.9,2.66437e+07
0.0419794,0.105768,0.145506,0.029631,-0.202158,-0.185277,13457.8,1.81111e+07
-0.113421,0.119229,0.0868624,0.288584,-0.149105,-0.117135,14966.6,2.24e+07
