x,vx,rho,e,P
-0.572794,-9.0681,0.00751365,4.57078,0.0137374
-0.403393,-6.93265,0.0195656,4.07916,0.0319247
-0.328054,-6.02423,0.0420117,3.12672,0.0525438
-0.293248,-5.66198,0.0587397,4.38082,0.102931
-0.261927,-5.30885,0.0684955,5.52705,0.151432
-0.23638,-5.05206,0.0760422,6.41826,0.195224
-0.212425,-4.78126,0.0856618,6.66054,0.228222
-0.192008,-4.55428,0.0961831,7.00692,0.26958
-0.17318,-4.35483,0.106354,7.27088,0.309315
-0.156333,-4.16087,0.116653,7.57411,0.353418
-0.140803,-3.99449,0.126379,7.82268,0.395451
-0.126417,-3.83503,0.136201,8.07272,0.439807
-0.113075,-3.68484,0.145821,8.30004,0.484131
-0.100534,-3.55167,0.15525,8.51731,0.528927
-0.0887578,-3.41575,0.164728,8.72578,0.574954
-0.0776356,-3.2985,0.173898,8.92131,0.620562
-0.067062,-3.17763,0.183168,9.11217,0.667624
-0.057046,-3.06959,0.192191,9.29251,0.714376
-0.047442,-2.96284,0.201229,9.46781,0.762081
-0.0383057,-2.86126,0.210147,9.63641,0.810028
-0.0295051,-2.7661,0.218977,9.79863,0.858272
-0.0210865,-2.67042,0.227793,9.95725,0.907281
-0.0129608,-2.58399,0.236451,10.1087,0.956088
-0.00514245,-2.49444,0.245149,10.2583,1.00593
0.00241113,-2.41431,0.253674,10.4011,1.0554
0.00971625,-2.33093,0.262248,10.5424,1.1059
0.0167805,-2.25548,0.270664,10.6779,1.15605
0.02364,-2.17806,0.279105,10.8117,1.20705
0.0302819,-2.10631,0.287425,10.9409,1.25788
0.0367501,-2.0343,0.295742,11.068,1.30931
0.0430235,-1.96571,0.303978,11.1917,1.36082
0.0491451,-1.89841,0.312183,11.3129,1.41268
0.0550938,-1.83265,0.320342,11.4316,1.46481
0.0609063,-1.76953,0.328437,11.5474,1.51705
0.0665663,-1.70651,0.336504,11.6614,1.56965
0.0721021,-1.64699,0.344508,11.7727,1.62231
0.0775032,-1.58635,0.352512,11.8825,1.67549
0.0827893,-1.5298,0.360442,11.9897,1.72865
0.0879562,-1.47158,0.368369,12.0956,1.78226
0.0930162,-1.41793,0.376208,12.199,1.83576
0.0979707,-1.36165,0.384069,12.3012,1.88982
