x,y,vx,vy,rho,e,P
0.00160682,0.00101833,0.0767062,0.0465983,12.3834,1.79321,14.8039
0.0247359,0.00109287,-0.0182246,0.0466901,13.9148,1.79542,16.6553
0.0501168,0.00121825,0.00661943,0.054873,12.5444,1.79448,15.0072
0.0749879,0.00119149,-0.00103501,0.0529749,12.8038,1.79454,15.3179
0.100008,0.00120474,0.000458568,0.0537199,12.7205,1.79449,15.2178
0.124998,0.00120848,-0.0001094,0.0538358,12.7417,1.79449,15.2432
0.149994,0.0012096,-0.000247857,0.0538958,12.7379,1.79449,15.2387
0.174993,0.00120876,-0.000298331,0.0538618,12.7372,1.79448,15.2378
0.199994,0.00120781,-0.000255521,0.0538219,12.7362,1.79448,15.2366
0.224995,0.0012073,-0.000203918,0.0537998,12.736,1.79448,15.2363
0.249996,0.00120715,-0.000173524,0.053793,12.7361,1.79448,15.2364
0.274996,0.00120717,-0.000163265,0.0537936,12.7362,1.79448,15.2366
0.299996,0.00120723,-0.00016332,0.0537961,12.7363,1.79448,15.2367
0.324996,0.00120727,-0.000166364,0.053798,12.7363,1.79448,15.2367
0.349996,0.00120729,-0.000168929,0.0537989,12.7363,1.79448,15.2367
0.374996,0.0012073,-0.000170209,0.0537991,12.7363,1.79448,15.2367
0.399996,0.0012073,-0.000170538,0.053799,12.7363,1.79448,15.2367
0.424996,0.00120729,-0.000170439,0.0537989,12.7363,1.79448,15.2367
0.449996,0.00120729,-0.000170258,0.0537988,12.7363,1.79448,15.2367
0.474996,0.00120729,-0.000170134,0.0537987,12.7363,1.79448,15.2367
0.499996,0.00120729,-0.000170082,0.0537987,12.7363,1.79448,15.2367
0.524996,0.00120729,-0.000170074,0.0537988,12.7363,1.79448,15.2367
0.549996,0.00120729,-0.000170083,0.0537988,12.7363,1.79448,15.2367
0.574996,0.00120729,-0.000170093,0.0537988,12.7363,1.79448,15.2367
0.599996,0.00120729,-0.000170099,0.0537988,12.7363,1.79448,15.2367
0.624996,0.00120729,-0.000170101,0.0537988,12.7363,1.79448,15.2367
0.649996,0.00120729,-0.000170101,0.0537988,12.7363,1.79448,15.2367
0.674996,0.00120729,-0.0001701,0.0537988,12.7363,1.79448,15.2367
