x,vx,rho,e,P
-0.213062,-3.52234,0.0179968,0.934689,0.00672857
-0.14266,-2.58886,0.0459446,0.844506,0.0155202
-0.110346,-2.17478,0.0977842,0.632433,0.0247368
-0.0954423,-2.029,0.134157,0.886789,0.0475874
-0.081555,-1.88637,0.155753,1.08728,0.0677388
-0.0703917,-1.76286,0.175214,1.24393,0.0871812
-0.060082,-1.65053,0.197127,1.2879,0.101552
-0.0511162,-1.55339,0.221067,1.35619,0.119923
-0.0429785,-1.46101,0.2446,1.4066,0.137622
-0.0356291,-1.3836,0.267408,1.46322,0.156511
-0.0288423,-1.30604,0.290015,1.51108,0.175294
-0.0225973,-1.23994,0.311978,1.55783,0.194404
-0.0167394,-1.17411,0.333897,1.60129,0.213866
-0.0112884,-1.11523,0.355318,1.64242,0.233432
-0.00612108,-1.0585,0.376597,1.68181,0.253346
-0.00126707,-1.00504,0.397569,1.71914,0.27339
0.00336435,-0.955182,0.418297,1.75505,0.293652
0.00775156,-0.90627,0.438858,1.78947,0.314129
0.0119551,-0.861582,0.459124,1.82251,0.334703
0.0159655,-0.816647,0.479296,1.85453,0.355547
0.0198197,-0.775929,0.499171,1.88523,0.376421
0.0235185,-0.734489,0.518977,1.91518,0.397574
0.0270823,-0.696922,0.538515,1.94396,0.41874
0.0305182,-0.658531,0.557983,1.97211,0.440162
0.0338367,-0.623551,0.577228,1.99926,0.461612
0.0370475,-0.587799,0.596388,2.02585,0.483276
0.0401558,-0.555007,0.615372,2.05161,0.505001
0.0431714,-0.521541,0.634254,2.07682,0.526893
0.0460972,-0.490629,0.653006,2.10137,0.548883
0.0489419,-0.459172,0.671642,2.12539,0.571
0.0517075,-0.429858,0.690178,2.14885,0.593236
0.0544013,-0.400207,0.708613,2.17183,0.615595
0.0570249,-0.372275,0.726941,2.19432,0.638057
0.0595844,-0.344177,0.745197,2.21638,0.660656
0.062081,-0.317578,0.763358,2.23801,0.683361
0.06452,-0.290761,0.781413,2.25921,0.70615
0.0669026,-0.265437,0.799424,2.28006,0.729093
0.0692327,-0.239808,0.81729,2.30048,0.752063
0.0715125,-0.215578,0.835138,2.32059,0.775207
0.0737438,-0.191059,0.852847,2.34033,0.798376
0.07593,-0.167753,0.870574,2.3598,0.821751
0.0780712,-0.144278,0.888159,2.37892,0.845145
0.0801718,-0.121697,0.905742,2.39782,0.868721
0.0822305,-0.0991953,0.923345,2.41658,0.892534
0.0842515,-0.0766826,0.941254,2.43535,0.916912
0.0862328,-0.0540836,0.959728,2.45422,0.942152
0.0881771,-0.0316681,0.977926,2.47226,0.967075
0.0900867,-0.0125234,0.993925,2.48783,0.989084
0.0919699,0.000819774,1.00501,2.49882,1.00454
0.0938378,0.00702837,1.01036,2.50464,1.01224
0.0957002,0.00838482,1.01161,2.50658,1.01427
0.0975623,0.00811207,1.01122,2.50663,1.0139
0.0994254,0.00743376,1.01053,2.50608,1.01299
0.10129,0.00660263,1.00978,2.50536,1.01195
0.103155,0.00566612,1.00898,2.50456,1.01082
0.105023,0.00468815,1.00815,2.50375,1.00966
0.106892,0.00374284,1.00736,2.50298,1.00857
0.108762,0.00288768,1.00667,2.50229,1.00759
0.110633,0.00215611,1.00608,2.5017,1.00677
0.112505,0.00156009,1.00561,2.50123,1.0061
0.114379,0.00109536,1.00525,2.50086,1.00559
0.116252,0.000747217,1.00498,2.50059,1.00521
0.118126,0.000495854,1.00478,2.50039,1.00494
0.120001,0.000320463,1.00465,2.50025,1.00475
0.121876,0.000201924,1.00456,2.50016,1.00463
0.12375,0.000124173,1.00451,2.5001,1.00454
0.125625,7.45945e-05,1.00447,2.50006,1.00449
0.1275,4.38148e-05,1.00445,2.50003,1.00446
0.129375,2.51848e-05,1.00443,2.50002,1.00444
0.13125,1.41779e-05,1.00443,2.50001,1.00443
0.133125,7.82293e-06,1.00442,2.50001,1.00442
0.135,4.23379e-06,1.00442,2.5,1.00442
0.136875,2.24902e-06,1.00442,2.5,1.00442
0.13875,1.17339e-06,1.00442,2.5,1.00442
0.140625,6.01666e-07,1.00442,2.5,1.00442
0.1425,3.03379e-07,1.00442,2.5,1.00442
0.144375,1.50516e-07,1.00442,2.5,1.00442
0.14625,7.35155e-08,1.00442,2.5,1.00442
0.148125,3.5367e-08,1.00442,2.5,1.00442
0.15,1.6767e-08,1.00442,2.5,1.00442
0.151875,7.83706e-09,1.00442,2.5,1.00442
0.15375,3.61313e-09,1.00442,2.5,1.00442
0.155625,1.64374e-09,1.00442,2.5,1.00442
0.1575,7.38203e-10,1.00442,2.5,1.00442
0.159375,3.27401e-10,1.00442,2.5,1.00442
0.16125,1.43508e-10,1.00442,2.5,1.00442
0.163125,6.21327e-11,1.00442,2.5,1.00442
0.165,2.65916e-11,1.00442,2.5,1.00442
0.166875,1.12687e-11,1.00442,2.5,1.00442
0.16875,4.70674e-12,1.00442,2.5,1.00442
0.170625,1.98184e-12,1.00442,2.5,1.00442
0.1725,8.34537e-13,1.00442,2.5,1.00442
0.174375,2.5263e-13,1.00442,2.5,1.00442
0.17625,3.81043e-14,1.00442,2.5,1.00442
0.178125,4.45581e-15,1.00442,2.5,1.00442
0.18,5.09459e-15,1.00442,2.5,1.00442
0.181875,1.03462e-14,1.00442,2.5,1.00442
0.18375,2.03215e-16,1.00442,2.5,1.00442
0.185625,1.8332e-16,1.00442,2.5,1.00442
0.1875,-2.79279e-15,1.00442,2.5,1.00442
0.189375,-3.68736e-15,1.00442,2.5,1.00442
0.19125,-7.35945e-15,1.00442,2.5,1.00442
0.193125,-7.97797e-15,1.00442,2.5,1.00442
0.195,-1.88258e-14,1.00442,2.5,1.00442
0.196875,2.6219e-16,1.00442,2.5,1.00442
0.19875,1.00854e-14,1.00442,2.5,1.00442
0.200625,-9.27258e-16,1.00442,2.5,1.00442
0.2025,-2.14726e-15,1.00442,2.5,1.00442
0.204375,-6.14264e-15,1.00442,2.5,1.00442
0.20625,-7.52429e-15,1.00442,2.5,1.00442
0.208125,-1.93516e-14,1.00442,2.5,1.00442
0.21,2.95763e-15,1.00442,2.5,1.00442
0.211875,1.92284e-14,1.00442,2.5,1.00442
0.21375,7.39711e-15,1.00442,2.5,1.00442
0.215625,5.69464e-15,1.00442,2.5,1.00442
0.2175,1.76854e-15,1.00442,2.5,1.00442
0.219375,7.09832e-16,1.00442,2.5,1.00442
0.22125,-1.03022e-14,1.00442,2.5,1.00442
0.223125,-2.98428e-17,1.00442,2.5,1.00442
0.225,1.00421e-14,1.00442,2.5,1.00442
0.226875,-1.29354e-15,1.00442,2.5,1.00442
0.22875,-3.20561e-15,1.00442,2.5,1.00442
0.230625,-8.17941e-15,1.00442,2.5,1.00442
0.2325,-1.1196e-14,1.00442,2.5,1.00442
0.234375,-1.72619e-14,1.00442,2.5,1.00442
