x,y,vx,vy,rho,e,P
0.0119946,0.0101646,-4.51453e-05,-0.00148511,7.7769,2.5,7.7769
0.0240017,0.0103414,3.52273e-06,-3.06981e-05,47.0986,2.5,47.0986
0.0359997,0.0103192,4.98884e-06,-0.000628468,20.3673,2.5,20.3673
0.048,0.0103113,2.00911e-07,-0.000298399,0.579539,2.5,0.579539
0.0599983,0.0103266,-1.01868e-05,-0.000175059,1.88637,2.5,1.88637
0.0720023,0.0103026,1.82441e-05,-0.000205336,0.770632,2.5,0.770632
0.0839987,0.0101949,-1.03994e-05,-0.000974593,9.87813,2.5,9.87812
0.0959998,0.0103064,2.73538e-06,-0.000190048,20.0921,2.5,20.0921
0.107981,0.0103053,-0.000181638,-0.000206325,3.45741,2.5,3.45741
0.120018,0.0101908,0.000173555,-0.00135487,3.28448,2.5,3.28448
0.131986,0.0101358,-6.84349e-05,-0.00138436,3.28472,2.5,3.28472
0.143952,0.0103076,-0.000615619,-0.000185271,1.95462,2.5,1.95462
0.156047,0.010297,0.000620726,-0.000464608,8.97864,2.5,8.97864
0.168,0.010307,-3.4105e-06,-0.000188743,0.55221,2.5,0.55221
0.179999,0.0103071,-5.37837e-06,-0.000183566,926.957,2.5,926.957
0.191987,0.0102781,-8.76866e-05,-0.000558953,12.6269,2.5,12.6269
0.204014,0.0101976,9.80041e-05,-0.0011013,2.76186,2.5,2.76186
0.216,0.0102803,4.06665e-06,-0.000743645,8.37029,2.5,8.37029
0.228,0.0103067,-3.50236e-06,-0.000193447,2.34239,2.5,2.34239
0.239999,0.0103074,-9.5694e-06,-0.000183643,1.56969,2.5,1.56969
0.251965,0.0103056,-0.000328382,-0.00020145,0.275603,2.5,0.275603
0.263991,0.0103075,-7.80974e-05,-0.000185239,1.30997,2.5,1.30997
0.276017,0.0103065,0.000167163,-0.000193484,2041.29,2.5,2041.29
0.288027,0.0102776,0.000238491,-0.000443076,2041.36,2.5,2041.36
0.3,0.0103072,2.63762e-06,-0.000191006,847.077,2.5,847.077
0.312,0.0102587,1.56147e-06,-0.000818571,1263.78,2.5,1263.78
0.324,0.0103079,-4.4173e-06,-0.000178847,274.016,2.5,274.016
0.336,0.0102783,1.65033e-06,-0.000435802,0.669772,2.5,0.669772
0.348,0.0103069,1.15291e-06,-0.000189363,1.81081,2.5,1.81081
0.360001,0.0102834,8.20469e-06,-0.000507948,0.616871,2.5,0.616871
