x,y,z,vx,vy,vz,rho,e,P
-0.576217,-0.171429,-0.171429,-0.0031743,-6.37609e-317,0,9.81109,2.5,9.81108
-0.551841,-0.171429,-0.171429,0.0025996,-1.39434e-317,0,37.6285,2.5,37.6285
-0.527976,-0.171429,-0.171429,0.000173679,-2.13794e-317,0,99.3584,2.5,99.3584
-0.504011,-0.171429,-0.171429,-0.00157693,-2.06651e-317,0,48.2026,2.5,48.2026
-0.480001,-0.171429,-0.171429,0.00142692,-2.54604e-317,0,9.34333,2.5,9.34333
-0.456071,-0.171429,-0.171429,-0.000754905,-3.07544e-317,0,12.6743,2.5,12.6743
-0.432129,-0.171429,-0.171429,-0.00136696,-1.88637e-317,0,2.79602,2.5,2.79602
-0.407825,-0.171429,-0.171429,0.00177192,-2.84537e-317,0,24.7466,2.5,24.7466
-0.384009,-0.171429,-0.171429,-0.000141666,-2.6499e-317,0,27.8509,2.5,27.8509
-0.360045,-0.171429,-0.171429,-0.000576342,-1.48944e-317,0,48.7857,2.5,48.7857
-0.335967,-0.171429,-0.171429,0.000416334,-2.15179e-317,0,248.029,2.5,248.029
-0.312028,-0.171429,-0.171429,-0.00176641,-2.32813e-317,0,97.4025,2.5,97.4025
-0.288038,-0.17147,-0.171429,-0.000717149,-0.00331237,2.23362e-08,45.0131,2.5,45.0132
-0.263953,-0.171429,-0.171429,0.00214195,3.90959e-07,-2.63635e-12,67.5656,2.5,67.5656
-0.240011,-0.171429,-0.171429,-0.000124273,-3.17397e-317,0,8.20278,2.5,8.20278
-0.216523,-0.171429,-0.171429,-0.00610262,-1.05665e-07,7.1253e-13,196.56,2.49999,196.559
-0.19184,-0.171429,-0.171429,0.00147786,1.05673e-07,-7.12577e-13,155.518,2.49999,155.518
-0.167674,-0.171429,-0.171429,0.00411265,2.66562e-11,-1.59011e-16,49.4297,2.5,49.4297
-0.144003,-0.171439,-0.171429,-6.35898e-05,-0.000821689,5.54088e-09,22.4425,2.5,22.4425
-0.120103,-0.17143,-0.171429,-0.00108254,-0.000110035,7.41999e-10,3.03237,2.5,3.03237
-0.0959171,-0.171429,-0.171429,0.00084544,-2.90776e-317,0,1.48975,2.5,1.48975
-0.0720185,-0.171429,-0.171429,-0.000429168,-2.74505e-317,0,18.6366,2.5,18.6366
-0.0480076,-0.171429,-0.171429,-0.000319654,-2.00154e-317,0,65.6217,2.5,65.6217
-0.0241161,-0.171429,-0.171429,-0.00103816,1.32843e-11,-7.92443e-17,18.4215,2.5,18.4215
9.68777e-05,-0.171431,-0.171433,0.00121878,-3.26918e-05,-0.000203598,8.48633,1.795,6.09319
0.119966,-0.17179,-0.172052,-0.00037172,-0.00284616,-0.00605427,11.878,1.79499,8.52839
0.239964,-0.171906,-0.172053,-0.0004422,-0.00774991,-0.0061198,8.93232,1.79498,6.41334
0.35997,-0.171697,-0.171838,-0.00036067,-0.00239795,-0.0030389,4.14543,1.795,2.97641
0.479965,-0.171931,-0.171862,-0.000447271,-0.00707933,-0.0049125,1.09187,1.79499,0.783956
0.599965,-0.172003,-0.171865,-0.000386173,-0.00772581,-0.00354746,39.0774,1.79499,28.0574
-0.576214,-0.143039,-0.171468,-0.00352935,-0.00386294,-0.000687634,13.263,2.5,13.263
-0.551809,-0.142858,-0.171477,0.00322147,6.86647e-05,-0.000652821,1.68468,2.5,1.68467
-0.528109,-0.142868,-0.171479,-0.00151078,-0.000655271,-0.000556763,13.0217,2.5,13.0217
-0.504049,-0.142873,-0.171613,-0.000244747,-0.000181421,-0.00208246,9.71346,2.5,9.71347
-0.480021,-0.142914,-0.17138,-7.54282e-05,-0.00116336,0.000543025,3.61281,2.5,3.61281
-0.455848,-0.142852,-0.171429,0.00147371,-3.20619e-05,-6.07676e-06,21.7676,2.5,21.7676
-0.432006,-0.142885,-0.171429,-8.52775e-05,-0.000809092,-1.02582e-05,24.4662,2.5,24.4662
-0.408049,-0.142848,-0.171449,-0.000512027,0.000142102,-0.000553419,88.3192,2.5,88.3192
-0.383957,-0.142863,-0.171462,0.000400455,-0.000558047,-0.00090936,34.2602,2.5,34.2602
-0.360001,-0.142869,-0.171429,-3.21516e-05,-0.000558751,-6.22416e-06,1.2682,2.5,1.2682
-0.336002,-0.142863,-0.171429,-2.10942e-05,-0.00028571,-3.18264e-06,57.2578,2.5,57.2578
-0.312011,-0.142887,-0.171429,-0.000356461,-0.000957481,-1.20268e-05,7.28824,2.5,7.28824
-0.288076,-0.142885,-0.171429,-0.0012535,-0.00120716,-1.69929e-05,19.5717,2.5,19.5717
-0.263932,-0.142915,-0.171429,0.00131514,-0.00192116,-3.11617e-05,17.4576,2.5,17.4576
-0.24006,-0.14288,-0.171448,-0.00145164,-0.000453565,-0.000224282,85.0482,2.5,85.0482
-0.215949,-0.1429,-0.171432,0.00133334,-0.000978534,-0.00012559,231.209,2.5,231.209
-0.192004,-0.142843,-0.171481,-5.08779e-05,-6.38635e-05,-0.0009772,6.60973,2.5,6.60973
-0.168007,-0.142823,-0.171547,-0.000102071,0.000426204,-0.00113387,20.9338,2.5,20.9338
-0.14404,-0.142857,-0.171428,-0.000826899,0.000245208,6.11548e-06,14.4049,2.5,14.4049
-0.120033,-0.142857,-0.171453,0.000191868,1.77694e-09,-0.000173929,115.856,2.5,115.856
-0.0959465,-0.142896,-0.171473,0.00038386,-0.00077188,-0.000648383,2.94254,2.5,2.94254
-0.0720136,-0.142916,-0.171434,-0.000155712,-0.00105266,-0.000175943,12.6374,2.5,12.6374
-0.048005,-0.142901,-0.171447,-5.38007e-05,-0.000563757,-0.000468373,25.6969,2.5,25.6969
-0.0240237,-0.142866,-0.171431,-0.000321277,-0.000195846,-0.000801014,11.2896,2.5,11.2896
8.52395e-06,-0.142857,-0.171444,0.000126939,-1.18453e-05,-0.000977663,1.95136,1.795,1.40108
0.119988,-0.14276,-0.171456,-0.000105217,7.74378e-05,-0.000408303,24.3644,1.795,17.4936
0.239983,-0.142888,-0.171532,-0.000249282,-0.00565833,-0.000962497,13.796,1.79498,9.90541
0.359985,-0.142744,-0.171435,-0.000179074,0.000590559,-0.000103852,10.2076,1.795,7.32908
0.479986,-0.142663,-0.17146,-0.00017418,0.00278351,-0.00045714,3.2722,1.79499,2.34943
0.599985,-0.14273,-0.171557,-0.000196284,-0.000592326,-0.00427584,22.4942,1.795,16.1508
-0.576015,-0.114312,-0.171575,-0.00019251,-0.000703875,-0.00360818,14.2738,2.5,14.2738
-0.552039,-0.114337,-0.171456,-0.000745672,-0.00118376,0.00014141,2.8447,2.5,2.8447
-0.528349,-0.114277,-0.171564,-0.00358773,0.000255968,-0.00159492,7.08485,2.5,7.08484
-0.503706,-0.114286,-0.171447,0.00307367,2.50587e-06,-0.00018559,30.4523,2.5,30.4523
-0.479936,-0.114299,-0.171404,0.000886061,-0.000924845,0.000350807,16.9072,2.5,16.9072
-0.456035,-0.114339,-0.171426,-0.00040556,-0.000950365,9.08344e-05,52.9032,2.5,52.9032
-0.431979,-0.114271,-0.171507,0.000226749,0.000530391,-0.000668587,7.7912,2.5,7.7912
-0.408024,-0.114286,-0.17135,-0.000333483,-0.000166387,0.000478994,18.0083,2.5,18.0083
-0.384011,-0.114293,-0.171444,-0.000118725,0.000110287,-6.79016e-05,48.9124,2.5,48.9124
-0.359976,-0.11428,-0.171426,0.000269123,0.000122872,0.000272367,5.53867,2.5,5.53867
-0.33601,-0.114339,-0.171429,-0.000108537,-0.00123602,-4.04908e-06,10.8015,2.5,10.8015
-0.312057,-0.114345,-0.171429,-0.00147403,-0.00115979,1.32591e-06,5.51439,2.5,5.51439
-0.287955,-0.114269,-0.171474,0.00107924,0.000774527,-0.000941135,2.45538,2.5,2.45538
-0.264002,-0.114291,-0.171428,0.000204221,-0.000208864,0.000169349,16.6324,2.5,16.6324
-0.240009,-0.114313,-0.171428,-0.000178101,-0.000562176,3.76518e-06,10.1177,2.5,10.1177
-0.216003,-0.114309,-0.171432,-4.30111e-05,-0.000610637,-2.86448e-05,0.352113,2.5,0.352113
-0.192007,-0.11428,-0.171451,-0.000109914,-0.000113893,-0.00024203,0.938317,2.5,0.938317
-0.168011,-0.114327,-0.171436,-0.000124062,-0.000742004,0.00012983,40.3632,2.5,40.3632
-0.144004,-0.114267,-0.171443,-8.27805e-05,-4.57691e-05,-0.000545484,185.472,2.5,185.472
-0.120004,-0.11432,-0.171612,-5.01938e-05,-0.00073438,-0.00216436,188.778,2.5,188.778
-0.0960426,-0.11435,-0.171579,-0.000335735,-0.00129269,-0.00158688,26.9901,2.5,26.9901
-0.0719886,-0.114755,-0.171438,-0.00122546,-0.00772222,-0.000221668,91.6995,2.5,91.6994
-0.0480023,-0.114275,-0.171455,0.000732702,6.44075e-05,-0.000116817,14.1896,2.5,14.1896
-0.0239863,-0.114281,-0.171415,0.000497644,0.000160744,-7.27845e-05,3.05855,2.5,3.05855
-8.76416e-06,-0.114309,-0.171443,-0.000107815,-0.000563734,-0.00128039,1.15483,1.795,0.829166
