x,vx,rho,e,P
-0.493992,-2.59628,1,1.66325,1
-0.445149,-2.56844,1,1.22222,1
-0.406127,-2.43175,1,1.13783,1
-0.379127,-2.3117,1,1.1848,1
-0.356435,-2.28689,1,1.2163,1
-0.334607,-2.26434,1,1.22528,1
-0.313772,-2.23029,1,1.23071,1
-0.294154,-2.18083,1,1.24001,1
-0.276089,-2.10465,1,1.25754,1
-0.260144,-1.99239,1,1.28798,1
-0.246662,-1.87887,1,1.32558,1
-0.234982,-1.81727,1,1.35287,1
-0.224001,-1.79851,1,1.36532,1
-0.213262,-1.78638,1,1.37131,1
-0.202716,-1.77227,1,1.37701,1
-0.192389,-1.75453,1,1.38345,1
-0.182304,-1.735,1,1.39035,1
-0.172449,-1.71585,1,1.39734,1
-0.16281,-1.69535,1,1.40485,1
-0.153408,-1.6707,1,1.41363,1
-0.144269,-1.64373,1,1.42344,1
-0.135392,-1.61526,1,1.4344,1
-0.12679,-1.58256,1,1.44708,1
-0.11849,-1.54668,1,1.46166,1
-0.110499,-1.50779,1,1.47844,1
-0.102838,-1.46417,1,1.49792,1
-0.0955254,-1.41801,1,1.52005,1
-0.0885653,-1.36898,1,1.54481,1
-0.0819656,-1.31898,1,1.5715,1
-0.0757083,-1.27078,1,1.59874,1
-0.0697668,-1.22687,1,1.62446,1
-0.0640866,-1.19198,1,1.64622,1
-0.0586015,-1.16609,1,1.66286,1
-0.0532512,-1.14859,1,1.67472,1
-0.0479904,-1.13557,1,1.68345,1
-0.0428003,-1.12449,1,1.69064,1
-0.0376695,-1.11393,1,1.69729,1
-0.0325985,-1.10295,1,1.70393,1
-0.0275853,-1.09198,1,1.71064,1
-0.0226307,-1.08029,1,1.71754,1
-0.0177354,-1.06855,1,1.72459,1
-0.0128987,-1.05616,1,1.73184,1
-0.00812241,-1.04362,1,1.73928,1
-0.00340506,-1.03058,1,1.74691,1
0.00125127,-1.01728,1,1.75473,1
0.00584837,-1.00365,1,1.76274,1
0.0103844,-0.989677,1,1.77095,1
0.014861,-0.975495,1,1.77935,1
0.0192767,-0.960928,1,1.78795,1
0.0236331,-0.946236,1,1.79672,1
0.0279291,-0.931154,1,1.8057,1
0.0321661,-0.915993,1,1.81486,1
0.0363433,-0.90046,1,1.82421,1
0.0404618,-0.884876,1,1.83376,1
0.0445214,-0.868949,1,1.84349,1
0.048523,-0.852988,1,1.8534,1
0.0524665,-0.836728,1,1.86351,1
0.0563529,-0.820443,1,1.87379,1
0.0601819,-0.803917,1,1.88425,1
0.063955,-0.787369,1,1.89487,1
0.067672,-0.770655,1,1.90566,1
0.0713341,-0.753916,1,1.9166,1
0.0749413,-0.737102,1,1.92768,1
0.0784951,-0.720256,1,1.93889,1
0.0819956,-0.703437,1,1.95021,1
0.0854443,-0.686578,1,1.96162,1
0.0888413,-0.669846,1,1.97312,1
0.0921882,-0.653074,1,1.98468,1
0.0954856,-0.636513,1,1.99629,1
0.0987346,-0.619934,1,2.00793,1
0.101936,-0.603608,1,2.01959,1
0.105091,-0.587321,1,2.03124,1
0.108202,-0.571282,1,2.04288,1
0.111267,-0.555374,1,2.05449,1
0.11429,-0.539665,1,2.06605,1
0.117271,-0.524191,1,2.07755,1
0.120211,-0.508862,1,2.08898,1
0.123111,-0.493848,1,2.10033,1
0.125972,-0.478966,1,2.11158,1
0.128796,-0.464415,1,2.12273,1
0.131584,-0.450057,1,2.13374,1
0.134336,-0.43602,1,2.14457,1
0.137053,-0.42243,1,2.15512,1
0.139739,-0.409421,1,2.16522,1
0.142394,-0.39735,1,2.17475,1
0.145021,-0.386093,1,2.18364,1
0.147623,-0.375593,1,2.19202,1
0.150201,-0.365492,1,2.20007,1
0.152757,-0.355561,1,2.20793,1
0.155289,-0.345763,1,2.21573,1
0.1578,-0.335927,1,2.2235,1
0.160289,-0.32615,1,2.23128,1
0.162757,-0.316336,1,2.23906,1
0.165203,-0.306516,1,2.24687,1
0.167628,-0.29671,1,2.25469,1
0.170033,-0.286855,1,2.26253,1
0.172416,-0.277039,1,2.2704,1
0.17478,-0.267183,1,2.27828,1
0.177123,-0.25735,1,2.28617,1
0.179446,-0.247519,1,2.29408,1
0.181749,-0.237682,1,2.302,1
0.184033,-0.227884,1,2.30993,1
0.186298,-0.218075,1,2.31786,1
0.188543,-0.208312,1,2.3258,1
0.190769,-0.198559,1,2.33373,1
0.192977,-0.188841,1,2.34166,1
0.195166,-0.179162,1,2.34958,1
0.197337,-0.169511,1,2.35748,1
0.19949,-0.159916,1,2.36538,1
0.201625,-0.150355,1,2.37325,1
0.203743,-0.140856,1,2.38111,1
0.205844,-0.131407,1,2.38893,1
0.207928,-0.122021,1,2.39673,1
0.209995,-0.112705,1,2.40449,1
0.212045,-0.103457,1,2.41221,1
0.21408,-0.0942964,1,2.41988,1
0.216098,-0.0852232,1,2.42749,1
0.218101,-0.0762586,1,2.43503,1
0.220089,-0.067417,1,2.44248,1
0.222062,-0.0587265,1,2.44982,1
0.22402,-0.0502296,1,2.45701,1
0.225964,-0.0419861,1,2.46399,1
0.227895,-0.0340937,1,2.47068,1
0.229814,-0.026685,1,2.47695,1
0.23172,-0.0199343,1,2.48268,1
0.233617,-0.0140323,1,2.48769,1
0.235504,-0.00914666,1,2.49186,1
0.237385,-0.00537198,1,2.4951,1
0.23926,-0.00269083,1,2.49744,1
0.241132,-0.000972467,1,2.49897,1
0.243002,-5.33254e-06,1,2.49986,1
0.244871,0.000448559,1,2.50031,1
0.246739,0.000605448,1,2.50048,1
0.248607,0.000630157,1,2.50053,1
0.250475,0.000619393,1,2.50052,1
0.252343,0.000596159,1,2.5005,1
0.254212,0.000564063,1,2.50047,1
0.25608,0.000524725,1,2.50044,1
0.257948,0.000480142,1,2.5004,1
0.259817,0.000432462,1,2.50036,1
0.261685,0.000383664,1,2.50032,1
0.263554,0.000335447,1,2.50028,1
